_id,airline,flightNumber,origin,destination,daysOfWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,scheduledDepartureTime,scheduledArrivalTime,flightTime,flightTimeMinutes,rate,seatAvail,flight_start_date/$date,instances/2024-05-10/seatAvail,instances/2024-05-05/seatAvail,instances/2024-05-03/seatAvail
660031958434ccc0f1c142dd,GoAir,562,Kochi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:00,10:50,10:50,650,1200,180,2024-05-01T00:00:00.000Z,178,,
660031958434ccc0f1c142de,IndiGo,122,Pune,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:05,01:00,60,2040,180,2024-05-01T00:00:00.000Z,,179,
660031958434ccc0f1c142df,IndiGo,6825,Bengaluru,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:10,01:05,65,2210,180,2024-05-01T00:00:00.000Z,,,179
660031958434ccc0f1c142e0,IndiGo,5221,Mumbai,Goa,Tuesday,N,Y,N,N,N,N,N,00:05,01:15,01:10,70,2380,180,2024-05-07T00:00:00.000Z,,,
660031958434ccc0f1c142e1,GoAir,380,Goa,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:20,01:15,75,2550,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142e2,IndiGo,672,Pune,Mangalore,"Sunday,Tuesday,Thursday,Saturday",N,Y,N,Y,N,Y,Y,00:05,01:20,01:15,75,2550,180,2024-05-07T00:00:00.000Z,,,
660031958434ccc0f1c142e3,Akasa Air,1103,Mumbai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:40,01:35,95,3230,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142e4,IndiGo,672,Pune,Visakhapatnam,"Monday,Wednesday,Friday",Y,N,Y,N,Y,N,N,00:05,01:55,01:50,110,3740,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142e5,GoAir,2508,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:15,02:10,130,4420,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142e6,AirAsia India,557,Chennai,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:25,02:20,140,4760,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142e7,AirAsia India,722,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:45,02:40,160,5440,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142e8,IndiGo,2622,Chennai,Delhi,Saturday,N,N,N,N,N,Y,N,00:05,02:55,02:50,170,5780,180,2024-05-04T00:00:00.000Z,,,
660031958434ccc0f1c142e9,IndiGo,2622,Chennai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:55,02:50,170,5780,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142ea,IndiGo,6065,Goa,Amritsar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,03:10,03:05,185,6290,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142eb,IndiGo,122,Pune,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:15,01:05,65,2210,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142ec,IndiGo,5376Z,Mumbai,Ahmedabad,Saturday,N,N,N,N,N,Y,N,00:10,01:20,01:10,70,2380,180,2024-05-04T00:00:00.000Z,,,
660031958434ccc0f1c142ed,IndiGo,899,Kolkata,Guwahati,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:25,01:15,75,2550,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142ee,IndiGo,6236,Bengaluru,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:30,01:20,80,2720,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142ef,IndiGo,6745,Pune,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:30,01:20,80,2720,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142f0,IndiGo,6745,Pune,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:30,01:20,80,2720,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142f1,IndiGo,253,Mumbai,Jaipur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:55,01:45,105,3570,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142f2,IndiGo,848,Mumbai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,02:00,01:50,110,3740,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142f3,AirAsia India,330,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,02:15,02:05,125,4250,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142f4,Jet Airways,304,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,02:25,02:15,135,4590,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142f5,Jet Airways,3539,Pune,Patna,"Monday,Wednesday,Thursday",Y,N,Y,Y,N,N,N,00:10,02:30,02:20,140,4760,180,2024-05-01T00:00:00.000Z,,,
660031958434ccc0f1c142f6,IndiGo,6065,Goa,Amritsar,Saturday,N,N,N,N,N,Y,N,00:10,04:10,04:00,240,1500,180,2024-05-04T00:00:00.000Z,,,
660031958434ccc0f1c142f7,Air India,588,Kochi,Bengaluru,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Y,Y,N,Y,Y,Y,Y,00:15,01:15,01:00,60,2040,180,2024-05-07T00:00:00.000Z,,,
660031958434ccc0f1c142f8,IndiGo,6236,Bengaluru,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Y,Y,Y,Y,Y,N,Y,00:15,01:35,01:20,80,2720,180,2024-05-01T00:00:00.000Z,,,
