airline,flightNumber,origin,destination,daysOfWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,scheduledDepartureTime,scheduledArrivalTime,flightTime,flightTimeMinutes,rate
GoAir,562,Kochi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:00,10:50,10:50,650.00,1200
IndiGo,122,Pune,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:05,01:00,60.00,2040
IndiGo,6825,Bengaluru,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:10,01:05,65.00,2210
IndiGo,5221,Mumbai,Goa,Tuesday,N,Y,N,N,N,N,N,00:05,01:15,01:10,70.00,2380
GoAir,380,Goa,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:20,01:15,75.00,2550
IndiGo,672,Pune,Mangalore,"Sunday,Tuesday,Thursday,Saturday",N,Y,N,Y,N,Y,Y,00:05,01:20,01:15,75.00,2550
Akasa Air,1103,Mumbai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,01:40,01:35,95.00,3230
IndiGo,672,Pune,Visakhapatnam,"Monday,Wednesday,Friday",Y,N,Y,N,Y,N,N,00:05,01:55,01:50,110.00,3740
GoAir,2508,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:15,02:10,130.00,4420
AirAsia India,557,Chennai,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:25,02:20,140.00,4760
AirAsia India,722,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:45,02:40,160.00,5440
IndiGo,2622,Chennai,Delhi,Saturday,N,N,N,N,N,Y,N,00:05,02:55,02:50,170.00,5780
IndiGo,2622,Chennai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,02:55,02:50,170.00,5780
IndiGo,6065,Goa,Amritsar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:05,03:10,03:05,185.00,6290
IndiGo,122,Pune,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:15,01:05,65.00,2210
IndiGo,5376Z,Mumbai,Ahmedabad,Saturday,N,N,N,N,N,Y,N,00:10,01:20,01:10,70.00,2380
IndiGo,899,Kolkata,Guwahati,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:25,01:15,75.00,2550
IndiGo,6236,Bengaluru,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:30,01:20,80.00,2720
IndiGo,6745,Pune,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:30,01:20,80.00,2720
IndiGo,6745,Pune,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:10,01:30,01:20,80.00,2720
